"SBiX#","Structure","NCATS ID","Scaffold","Ki_S100B","Column1","Ki_SE_S100B","Ki_S100A1","Column2","Ki_SE_S100A1","Specificity (Ki_S100B/Ki_S100A1)","SAR Class A","Xray - Crystal","Xray - Picture of Crystals","Xray - Data Collected","Xray - Structure completed","Xray - Resolution","Xray - R-factor (%)","Xray - R-Free (%)","Xray - PDB FILE","NMR - HSQC completed (YES or NO)","NMR - Quality of HSQC spectra with compound (Low, Medium, High)","logP(o/w)","Weight","N_heavy","4DBA","Comments"
4873,,"NCGC00355879-01","1/2 Site binder",5.165,"±",1.323,12.642,"±",6.3,2.4,"A","YES (MC, EA)","?","YES (MC)","YES",1.44,19.69,22.86,"No",,,5.8,527.5,36.0,-3.4,
5197,,"NCGC00355880-01","1/2 Site binder",23.630,"±",,100.000,">",,4.2,"A","YES (MC, EA)","?","NO","No",,,,"No",,,4.9,472.7,35.0,-3.1,"Needs optimization"
5198,,"NCGC00355881-01","1/2 Site binder",22.234,"±",,100.000,">",,4.5,"A","YES (MC, EA)","?","NO","No",,,,"No",,,5.4,537.5,35.0,-3.7,"Needs optimization"
5199,,"NCGC00356679-01","1/2 Site binder",50.000,">",,100.000,">",,2.0,"A","NO","NO","NO","NO",,,,"No",,,2.7,338.5,25.0,-2.6,
5200,,"NCGC00356559-01","1/2 Site binder",3.217,"±",,18.859,"±",,5.9,"A","NO","NO","NO","NO",,,,"No",,,2.5,324.4,24.0,-2.5,
5201,,"NCGC00356675-01","1/2 Site binder",8.576,"±",,24.264,"±",,2.8,"A","YES (MC)","?","YES (MC)","NO",,,,"No",,,5.8,527.5,36.0,-3.4,
5202,,"NCGC00356678-01","1/2 Site binder",7.975,"±",,32.023,"±",,4.0,"A","NO","NO","NO","NO",,,,"No",,,5.6,513.5,35.0,-3.2,
5203,,"NCGC00356413-01","1 Site binder","NOT ACTIVE","±",,"NOT ACTIVE","±",,"#VALUE!","A","NO","NO","NO","NO",,,,"No",,,2.4,213.3,16.0,-2.4,
5204,,"NCGC00356563-01","1/2 Site binder",26.440,"±",,"NOT ACTIVE","±",,"#VALUE!","A","NO","NO","NO","NO",,,,"No",,,3.9,423.6,31.0,-2.6,
5205,,"NCGC00356674-01","1/2 Site binder",4.132,"±",,10.162,"±",,2.5,"A","YES (MC)","?","YES (MC)","YES (MC)",1.25,21,22.55,"No",,,5.8,527.5,36.0,-3.4,
5206,,"NCGC00356677-01","1/2 Site binder",50.000,">",,100.000,">",,2.0,"A","NO","NO","NO","NO",,,,"No",,,4.1,437.6,32.0,-2.9,
5207,,"NCGC00356680-01","1/2 Site binder",50.000,">",,"NOT ACTIVE","±",,"#VALUE!","A","NO","NO","NO","NO",,,,"No",,,2.8,338.5,25.0,-2.5,
5208,,"NCGC00356811-01","1/2 Site binder",17.354,"±",,45.775,"±",,2.6,"A","NO","NO","NO","NO",,,,"No",,,5.7,527.5,36.0,-3.5,
5220,,"NCGC00371466-01","1/2 Site binder",26.719,"±",,71.525,"±",,2.7,"A","NO","NO","NO","NO",,,,"No",,,5.0,485.4,33.0,-3.0,
